Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C27",C_1206,2,100uF,C15008
"C11, C15, C6, C8",C_0402,4,4.7uF,C23733
"C12, C13, C14, C2, C23, C28, C3, C30, C31, C32, C33, C34, C35, C4",C_0402,14,100nF,C307331
"C22, C29",C_0402,2,15pF,C1548
C24,C_0402,1,1nF,C1523
C25,C_0402,1,10pF,C32949
C26,C_0805,1,22uF,C45783
C5,C_0603,1,2.7nF,C1609
D1,D_SMAF,1,SS24F,C18199202
D2,D_0805,1,Green,C2297
D3,D_0603,1,Red,C2286
J2,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
J5,Seeed 1.69 Inch LCD Module,1,Conn_01x08_MountingPin,
L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,1,3.3uH,
L2,IND-SMD_L5.0-W5.0_FNR50XXS,1,2.7uH,
"R1, R11, R15",R_0402,3,10kΩ,C25744
"R10, R17",R_0402,2,0Ω,C17168
"R12, R5",R_0402,2,5.1kΩ,C25905
"R13, R2, R4",R_0402,3,1kΩ,C11702
R14,R_0402,1,24kΩ,C25769
R16,R_0402,1,3.3kΩ,C25890
"R18, R8",R_0402,2,100Ω,C25076
"R3, R7",R_0603,2,27Ω,C25190
R6,R_0402,1,33Ω,C25105
"SW1, SW2",SW_1825910-6-4,2,SW_Push,
"SW3, SW4",RotaryEncoder_Bourns_Vertical_PEC12R-3x17F-Sxxxx,2,RotaryEncoder_Switch_MP,
U1,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_80QFN,
U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,TPS54331DR,C9865
U3,SOP-8_3.76x4.96mm_P1.27mm,1,LY68L6400SLIT,C261881
U5,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128,C97521
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,ABM8-272-T3,
