Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C5",0805,3,10u,
"C10, C6, C7, C9",0402,4,4.7u,
"C11, C12, C13, C14, C15, C16, C17, C18, C2, C20, C21, C8",0402,12,100n,
"C22, R9",0402,2,DNF,
"C3, C4",0402,2,15p,
J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,USB_B_Micro,
J4,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,
J5,Seeed 1.69 Inch LCD Module,1,Conn_01x08_MountingPin,
L1,L_pol_2016,1,3.3u,
"R1, R13",0402,2,10k,
"R10, R11",0402,2,0,
"R2, R4, R6",0402,3,1k,
R3,0402,1,33,
"R7, R8",0402,2,27,
"SW1, SW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SW_Push,
"SW3, SW4",RotaryEncoder_Bourns_Vertical_PEC12R-3x17F-Sxxxx,2,RotaryEncoder_Switch_MP,
U1,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_80QFN,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,SOP-8_3.76x4.96mm_P1.27mm,1,LY68L6400SLIT,C261881
U5,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128,C97521
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
