Designator,Mid X,Mid Y,Rotation,Layer
C1,41.44,-0.8,270.0,top
C10,9.76,4.8,180.0,top
C11,19.1,-2.06,270.0,top
C12,27.216666,7.205,0.0,top
C13,9.7,7.7,180.0,top
C14,26.51,12.06,90.0,top
C15,21.18,14.09,90.0,top
C16,18.12,-2.06,270.0,top
C17,16.3,14.08,90.0,top
C18,11.4,-0.78,180.0,top
C19,34.55,18.38,0.0,top
C2,42.63,10.25,90.0,top
C20,23.36,-2.06,270.0,top
C21,9.63,10.61,180.0,top
C22,42.18,13.86,270.0,bottom
C3,8.1,7.4,90.0,top
C4,8.1,4.5,270.0,top
C5,28.44,-5.4,180.0,top
C6,24.691666,3.155,270.0,top
C7,25.666666,3.155,270.0,top
C8,18.83,14.11,90.0,top
C9,25.166666,0.78,180.0,top
J1,46.4,6.0,90.0,top
J4,-46.02,5.72,270.0,top
J5,0.0,0.0,0.0,bottom
L1,27.341666,3.105,270.0,top
R1,41.89,18.6,180.0,top
R10,39.89,18.6,0.0,top
R11,39.865,19.65,0.0,top
R13,41.87,19.65,180.0,top
R2,9.77,5.94,180.0,top
R3,27.056666,0.78,180.0,top
R4,-43.8,14.12,270.0,top
R6,39.87,20.7,0.0,top
R7,27.216666,6.105,180.0,top
R8,27.216666,5.005,180.0,top
R9,38.55,17.79,315.0,top
SW1,46.35,17.125,180.0,top
SW2,-46.19,17.13,180.0,top
SW3,37.5,-12.5,0.0,top
SW4,-37.5,-12.5,180.0,top
U1,18.633333,6.146667,270.0,top
U2,34.63,-1.1325,0.0,top
U3,39.04,12.28,180.0,top
U5,39.0,12.2,270.0,bottom
Y1,5.9,6.38,270.0,top
